State,Constituency,CDU Cons,CDU List,SPD Cons,SPD List,Die Linke Cons,Die Linke List,Grüne Cons,Grüne List,CSU Cons,CSU List
Nordrhein-Westfalen,106,78206,65978,47731,43269,8657,10505,13427,15445,0,0
Nordrhein-Westfalen,107,55990,51050,48065,41737,12538,10705,10315,13399,0,0
Nordrhein-Westfalen,108,78712,69480,46619,42604,5983,7606,7226,9363,0,0
Nordrhein-Westfalen,109,63843,55030,36665,35447,7827,8080,7638,7792,0,0
Nordrhein-Westfalen,110,73201,66802,46148,40968,6165,7768,8693,10303,0,0
Nordrhein-Westfalen,111,87764,76747,47198,44103,7998,8897,8880,11106,0,0
Nordrhein-Westfalen,112,81216,77833,52778,43253,0,7322,9220,9856,0,0
Nordrhein-Westfalen,113,66172,59970,59709,53249,7527,9091,7489,9780,0,0
Nordrhein-Westfalen,114,51835,47806,53578,44856,6994,8546,6888,9485,0,0
Nordrhein-Westfalen,115,38477,36109,55779,47165,8802,9475,6107,8341,0,0
Nordrhein-Westfalen,116,30654,27665,44759,44727,8920,9160,5371,5376,0,0
Nordrhein-Westfalen,117,46889,43882,65442,60222,10627,11732,11396,9604,0,0
Nordrhein-Westfalen,118,49487,47247,58741,53275,7664,8968,8824,9837,0,0
Nordrhein-Westfalen,119,33243,30540,51677,44684,7752,8716,5382,7616,0,0
Nordrhein-Westfalen,120,59101,54310,59008,49626,7341,9855,11576,14550,0,0
Nordrhein-Westfalen,121,41383,40898,54504,48070,7410,8244,6178,7716,0,0
Nordrhein-Westfalen,122,49404,47082,61748,54378,7529,8501,6733,7860,0,0
Nordrhein-Westfalen,123,33460,32380,58967,51514,7112,8880,4270,6413,0,0
Nordrhein-Westfalen,124,75853,72802,46459,41073,5484,6420,7458,8936,0,0
Nordrhein-Westfalen,125,53354,51021,66913,58800,7827,9153,5277,7998,0,0
Nordrhein-Westfalen,126,86028,80352,40643,38391,4513,5447,9548,9138,0,0
Nordrhein-Westfalen,127,83175,74391,39724,38075,4929,6167,10346,12083,0,0
Nordrhein-Westfalen,128,69385,62729,52786,48324,5533,6765,8464,10981,0,0
Nordrhein-Westfalen,129,69352,67626,63296,48579,7620,11254,19767,27118,0,0
Nordrhein-Westfalen,130,80272,73764,50056,45609,5488,6858,9300,11305,0,0
Nordrhein-Westfalen,131,83869,77361,56031,47962,7133,8332,9069,13148,0,0
Nordrhein-Westfalen,132,66021,62698,67464,57931,12153,14869,19026,20711,0,0
Nordrhein-Westfalen,133,65873,63755,66637,56554,8706,9409,8209,12297,0,0
Nordrhein-Westfalen,134,66385,59134,58186,49536,5943,7114,5923,10527,0,0
Nordrhein-Westfalen,135,49783,48776,50934,43583,5186,6369,7070,9123,0,0
Nordrhein-Westfalen,136,76882,70520,48159,45707,6328,7894,8757,10266,0,0
Nordrhein-Westfalen,137,102867,89394,40429,40630,6969,9065,11254,12445,0,0
Nordrhein-Westfalen,138,49329,51328,68044,53380,8181,9820,6521,9806,0,0
Nordrhein-Westfalen,139,47530,44028,56197,50946,6743,8498,10964,12071,0,0
Nordrhein-Westfalen,140,53861,46448,66851,58766,10331,12022,10323,14667,0,0
Nordrhein-Westfalen,141,37807,35149,60610,54876,9500,10162,7194,8275,0,0
Nordrhein-Westfalen,142,45310,42712,67019,56180,8835,11653,11042,15827,0,0
Nordrhein-Westfalen,143,43688,39604,63388,55683,9340,10568,9228,11328,0,0
