State,Constituency,CDU Cons,CDU List,SPD Cons,SPD List,Die Linke Cons,Die Linke List,Grüne Cons,Grüne List,CSU Cons,CSU List,FDP Cons,FDP List,AfD Cons,AfD List
Baden-Württemberg,269,55595,47588,26971,22298,7581,7999,15216,15482,0,0,10882,16717,17788,19438
Baden-Württemberg,270,77752,64217,35164,31341,8678,9233,16123,18427,0,0,10218,17707,18447,20616
Baden-Württemberg,271,45821,44776,37924,27044,12155,15452,28268,29408,0,0,13829,19251,16073,16741
Baden-Württemberg,272,67396,59137,32886,28591,7627,9119,19076,20489,0,0,15138,21441,19512,20887
Baden-Württemberg,273,68259,58798,29486,26374,7123,8369,16954,17766,0,0,11150,17847,18849,19701
Baden-Württemberg,274,58019,53138,46219,32806,10751,14812,29664,30491,0,0,11769,22556,15803,16850
Baden-Württemberg,275,41812,38746,39795,30309,10493,12989,18739,18803,0,0,9835,16050,17833,18309
Baden-Württemberg,276,75531,64208,30849,27175,8422,8907,11090,13642,0,0,11419,17564,21849,22289
Baden-Württemberg,277,57788,51797,36886,28486,8010,9738,14792,17687,0,0,12571,18933,20177,20942
Baden-Württemberg,278,63166,53147,29684,26560,7016,8674,12641,15500,0,0,10255,18180,21960,22794
Baden-Württemberg,279,60476,54364,31611,27101,7730,8952,16016,17869,0,0,19760,22643,26172,27107
Baden-Württemberg,280,65676,56330,25601,21832,6832,7759,13284,14989,0,0,14154,21646,21431,22715
Baden-Württemberg,281,50256,50423,40647,31452,13172,20168,46115,38002,0,0,9546,16725,12984,14103
Baden-Württemberg,282,69148,60513,36986,31249,8854,10898,26244,27014,0,0,15271,19449,16854,18459
Baden-Württemberg,283,62476,59784,39472,29738,8691,9588,18537,22806,0,0,14275,17626,18027,19139
Baden-Württemberg,284,73935,57033,26532,25406,8264,8411,19383,21220,0,0,9593,16940,15899,17800
Baden-Württemberg,285,64558,57060,23855,21900,5825,7141,14299,15329,0,0,16255,20328,19543,20942
Baden-Württemberg,286,58149,46812,20672,19337,5347,6608,12085,15113,0,0,10438,15124,14069,15350
Baden-Württemberg,287,70355,52194,26396,24529,11003,11306,21052,25202,0,0,11425,20758,15006,16215
Baden-Württemberg,288,56528,53066,32522,22122,6767,7369,16030,18842,0,0,8402,14647,12388,13299
Baden-Württemberg,289,63494,53873,23397,23321,9711,9543,22309,21695,0,0,15533,21425,18702,20171
Baden-Württemberg,290,56446,48828,27325,24865,13862,15096,30197,28521,0,0,12504,18718,13684,15887
Baden-Württemberg,291,74849,64988,35456,27889,8105,9976,20990,24160,0,0,14173,20277,18734,20432
Baden-Württemberg,292,57837,56162,22034,16557,4907,5997,17589,14729,0,0,9775,14321,14640,16236
Baden-Württemberg,293,56165,50428,24451,19321,7185,8316,18811,20015,0,0,11999,17954,14079,14164
Baden-Württemberg,294,55758,56264,17958,19398,7860,8889,29216,21770,0,0,14672,16441,13668,14901
Baden-Württemberg,295,61694,52284,19716,19446,6450,7061,17489,15798,0,0,12695,18394,18609,18814
Saarland,296,45664,41394,46688,38322,19262,21669,8782,11748,0,0,7672,11753,12950,14042
Saarland,297,60102,52981,50672,42476,17142,20320,5532,8598,0,0,6069,12059,14224,15506
Saarland,298,57987,50660,42129,38368,13584,15686,4674,6662,0,0,6517,9569,11646,12627
Saarland,299,48102,44538,45022,39729,15724,17773,7128,8109,0,0,7369,11096,15767,16745
