State,Constituency,CDU Cons,CDU List,SPD Cons,SPD List,Die Linke Cons,Die Linke List,Grüne Cons,Grüne List,CSU Cons,CSU List,FDP Cons,FDP List,AfD Cons,AfD List
Niedersachsen,53,56250,51177,59032,47871,9905,14748,19131,19676,0,0,7734,15421,11870,13446
Bremen,54,44912,48458,55656,45729,22666,26425,22117,23568,0,0,20702,19138,14290,15539
Bremen,55,36363,34951,49463,43215,16739,18204,11269,13165,0,0,9755,11918,16645,17705
Brandenburg,56,36481,35215,28061,24884,20849,19447,3547,4231,0,0,4226,6555,21296,22183
Brandenburg,57,39102,36160,24843,21650,23589,23870,4714,5187,0,0,4859,7021,25804,26605
Brandenburg,58,54455,51968,41423,33856,26839,26091,9685,11684,0,0,9514,13912,32762,33987
Brandenburg,59,47594,42113,26526,25908,37721,34632,8972,7800,0,0,7111,11007,33915,34701
Brandenburg,60,39991,35556,31548,26055,19038,20925,4293,5238,0,0,5763,8194,21312,22633
Brandenburg,61,48095,48015,50588,35773,31840,35106,15549,19079,0,0,14425,17768,23890,26133
Brandenburg,62,56607,49982,36148,32565,30278,29217,8127,8617,0,0,8910,13718,37358,38915
Brandenburg,63,37344,33888,23598,22702,26401,26202,4504,5896,0,0,7008,9241,30261,30477
Brandenburg,64,36855,31366,22019,19729,20359,21456,4319,4093,0,0,7426,9941,32776,34905
Brandenburg,65,35633,33576,20142,18700,19583,18775,3543,3146,0,0,6492,8128,29830,30564
Sachsen-Anhalt,66,35644,36022,20900,18721,20973,20346,3738,3648,0,0,7388,7838,18031,18419
Sachsen-Anhalt,67,55110,47566,29174,24053,29616,24555,3540,4236,0,0,11080,11413,0,27905
Sachsen-Anhalt,68,51386,47574,24767,22915,27104,25069,4462,4968,0,0,6923,9902,22792,23860
Sachsen-Anhalt,69,44021,44616,34877,27513,30299,30056,6417,8564,0,0,10796,12713,24509,26051
Sachsen-Anhalt,70,42781,38751,14806,17360,22086,21102,5607,4299,0,0,6051,8940,23520,24327
Sachsen-Anhalt,71,45843,44620,18687,20289,30757,25887,2854,3455,0,0,9213,10848,32281,32349
Sachsen-Anhalt,72,40690,39833,32053,21196,30530,28892,5475,10457,0,0,10131,13533,26018,26727
Sachsen-Anhalt,73,43254,38678,16930,17098,21819,21042,3198,3366,0,0,8538,10132,30112,31781
Sachsen-Anhalt,74,42725,39751,20864,19835,24863,23909,3647,3250,0,0,11091,11236,32864,32982
Berlin,75,27654,27861,35036,26788,30492,32118,26781,25708,0,0,9017,12972,11782,12289
Berlin,76,36429,36994,30509,29185,53618,43774,26376,26651,0,0,7890,12321,22487,23315
Berlin,77,49654,41912,31882,27071,10384,11516,10647,12305,0,0,9688,15376,17738,18513
Berlin,78,40372,36712,41965,29733,9861,12780,8031,11063,0,0,8292,12927,17551,18481
Berlin,79,63085,53281,43801,34279,13392,16352,22712,25361,0,0,16159,25461,14549,15824
Berlin,80,47077,40085,43123,30351,14745,18367,21286,24770,0,0,14426,23280,11722,12374
Berlin,81,51708,44721,39380,36179,19356,23625,33763,27956,0,0,11362,18569,16188,17108
Berlin,82,34593,31592,37777,27520,23204,25752,15480,18446,0,0,7255,10891,15105,15904
Berlin,83,20955,23887,29028,27391,42600,49016,45055,35077,0,0,5263,10147,10558,10863
Berlin,84,29384,31372,21379,24109,61881,39000,7755,12168,0,0,5831,10067,23245,26278
Berlin,85,30480,28620,17172,19797,46782,35698,4440,5621,0,0,4852,7290,28167,29618
Berlin,86,28905,27284,20720,21850,51249,43172,8609,9821,0,0,5018,7745,23119,24603
Nordrhein-Westfalen,87,47011,38827,45309,34663,12282,14459,13104,17918,0,0,10232,19795,7817,8271
Nordrhein-Westfalen,88,62405,52656,63135,60539,8785,10105,7782,8436,0,0,11038,19213,15114,14853
Nordrhein-Westfalen,89,64121,55605,39301,36421,6424,7909,6964,7281,0,0,9334,16111,11652,12313
Nordrhein-Westfalen,90,62711,52412,47543,43816,6611,8809,8235,8198,0,0,8788,17155,13404,14432
Nordrhein-Westfalen,91,74207,63664,58792,50014,8590,11392,10354,12526,0,0,17648,27398,17113,18091
Nordrhein-Westfalen,92,79493,66503,48592,43498,10835,11403,10689,12447,0,0,18316,27410,17650,18325
Nordrhein-Westfalen,93,43683,36565,42799,33666,11898,15271,13535,15800,0,0,10652,18067,11952,12290
Nordrhein-Westfalen,94,68657,56165,52880,38485,15704,21100,28716,30630,0,0,17816,33760,9057,9964
Nordrhein-Westfalen,95,41106,36500,48148,36849,14431,19118,19621,20973,0,0,10599,16850,11249,11731
Nordrhein-Westfalen,96,57330,53334,62377,36119,10193,17133,15056,25197,0,0,18724,28113,10882,13136
Nordrhein-Westfalen,97,79987,62334,49988,40922,14684,13038,11762,13757,0,0,18768,27267,0,18237
Nordrhein-Westfalen,98,80441,61425,39246,34583,9543,11116,13643,15192,0,0,14491,30142,14592,15226
Nordrhein-Westfalen,99,67603,56567,41305,35078,7999,9887,9489,9995,0,0,12123,21353,15648,16413
Nordrhein-Westfalen,100,68948,61423,42098,36221,8409,11042,11846,15581,0,0,27049,28787,12476,13777
Nordrhein-Westfalen,101,47272,43175,59373,41671,9430,14284,8722,13472,0,0,10114,18719,13408,14970
Nordrhein-Westfalen,102,43814,39341,46657,38696,13120,16100,10987,12754,0,0,12910,18437,16339,16431
Nordrhein-Westfalen,103,61871,51318,49863,40743,10105,12689,9403,11726,0,0,12548,22947,15303,16221
Nordrhein-Westfalen,104,70762,54126,40819,36596,8647,10216,11014,11796,0,0,13202,25757,14106,15053
Nordrhein-Westfalen,105,48689,40601,37468,30492,6825,8458,7567,8599,0,0,10795,19691,11143,11926
Nordrhein-Westfalen,106,69273,55052,41903,33493,12611,14675,14408,17148,0,0,21944,33940,10912,12029
Nordrhein-Westfalen,107,47950,40606,38727,33218,18499,14111,11778,14379,0,0,13049,21277,11530,12968
Nordrhein-Westfalen,108,69658,56983,45314,37438,8535,9895,8131,9583,0,0,11471,23585,13675,14887
Nordrhein-Westfalen,109,57766,46786,31766,30547,8921,9627,7814,8169,0,0,10225,17946,11910,12373
Nordrhein-Westfalen,110,65228,54907,39142,34051,7815,9805,10140,10871,0,0,17673,26859,11196,12104
Nordrhein-Westfalen,111,82165,65475,42932,38368,8747,10342,11478,11591,0,0,14233,27576,12035,12841
Nordrhein-Westfalen,112,75375,69700,51197,39316,7096,9366,8230,10098,0,0,12692,22687,11019,11621
Nordrhein-Westfalen,113,61849,53623,52085,45627,9461,10637,8763,9743,0,0,12644,19709,13615,14325
Nordrhein-Westfalen,114,48817,40955,42219,36714,7418,10090,8063,9307,0,0,10769,18032,11294,12186
Nordrhein-Westfalen,115,34053,30746,45455,37925,8146,10369,6648,7844,0,0,8289,12491,13648,13549
Nordrhein-Westfalen,116,26522,22830,34799,34695,8885,8546,4622,4493,0,0,7054,8369,16643,15794
Nordrhein-Westfalen,117,43077,39085,56987,49165,11331,12373,8349,8228,0,0,9357,14890,18197,18560
Nordrhein-Westfalen,118,44219,39847,49226,41731,9210,10546,8690,9465,0,0,12729,18337,16221,16200
Nordrhein-Westfalen,119,28912,25606,40601,34727,8555,9524,5846,6746,0,0,7207,10583,17153,16339
Nordrhein-Westfalen,120,56393,45826,46829,37699,9846,12574,12511,14312,0,0,12639,23068,12306,12735
Nordrhein-Westfalen,121,37792,35108,47257,38822,8043,8970,6079,7132,0,0,8791,12674,13953,14777
Nordrhein-Westfalen,122,46982,41079,56019,44224,11502,9201,6363,7189,0,0,13903,14759,0,17387
Nordrhein-Westfalen,123,29768,26452,45017,39524,7614,8703,5444,5489,0,0,7864,10834,19836,20113
Nordrhein-Westfalen,124,78579,67425,39584,35466,7554,8433,8118,9142,0,0,10082,19339,9265,9719
Nordrhein-Westfalen,125,50334,44967,55128,47013,9505,10292,6522,7248,0,0,9667,15741,17756,18710
Nordrhein-Westfalen,126,81496,73881,39412,33697,6969,6540,10496,9220,0,0,14216,20609,0,9405
Nordrhein-Westfalen,127,79677,68636,36250,32787,9577,8394,12680,11667,0,0,16195,21116,0,9496
Nordrhein-Westfalen,128,67678,57215,45797,41815,8520,9692,9857,11026,0,0,8533,17205,9530,10342
Nordrhein-Westfalen,129,70606,62276,54778,39714,13024,19287,24248,27739,0,0,13219,25684,8569,9393
Nordrhein-Westfalen,130,75017,65357,45094,38992,7738,8997,8968,10815,0,0,11291,21175,11078,12025
Nordrhein-Westfalen,131,81298,67175,48942,40104,7582,10595,9992,13817,0,0,11401,22848,13996,15081
Nordrhein-Westfalen,132,56485,50995,61086,46883,16489,20522,17728,20567,0,0,13495,21364,15028,16514
Nordrhein-Westfalen,133,59571,52994,61205,47940,9353,11589,8444,11485,0,0,9411,19186,16633,18098
Nordrhein-Westfalen,134,53057,49160,55868,43966,7862,9432,7372,9625,0,0,10575,16865,14796,15829
Nordrhein-Westfalen,135,46526,40214,40908,35509,6870,8399,7671,8869,0,0,10690,15916,13005,14147
Nordrhein-Westfalen,136,69910,58939,42211,39038,8724,10188,9400,10194,0,0,10813,19543,14443,15197
Nordrhein-Westfalen,137,99004,75628,36983,35055,9554,12292,11116,13612,0,0,10228,24976,16891,18484
Nordrhein-Westfalen,138,44948,42972,58206,43548,8045,10743,5752,8673,0,0,11727,18722,16716,17622
Nordrhein-Westfalen,139,44273,37284,49333,40767,10804,11092,11538,11142,0,0,14175,17270,0,13190
Nordrhein-Westfalen,140,43773,39580,57655,46243,15462,15953,11937,13862,0,0,10923,17449,14775,15190
Nordrhein-Westfalen,141,30361,29629,52672,43312,10064,10860,6992,7414,0,0,8448,11560,16799,17001
Nordrhein-Westfalen,142,44228,37967,59990,46424,11874,15506,11281,14702,0,0,9063,17193,14644,15197
Nordrhein-Westfalen,143,39933,34822,55038,46513,12242,12924,9047,10190,0,0,9031,15403,15074,15510
Nordrhein-Westfalen,144,47452,40697,58019,50205,8048,10313,9600,10254,0,0,9635,17196,13558,14689
Nordrhein-Westfalen,145,59700,51475,61717,53467,9949,11837,7409,8938,0,0,9970,17678,17713,19068
Nordrhein-Westfalen,146,73595,62764,50458,43184,9756,11702,9459,10723,0,0,13681,23296,15311,16165
Nordrhein-Westfalen,147,73185,63651,41047,34865,6452,8183,6476,7198,0,0,12893,21919,11115,12216
Nordrhein-Westfalen,148,64484,54648,48560,42551,9554,12624,6885,8857,0,0,11742,19125,15728,17154
Nordrhein-Westfalen,149,72158,61394,39699,35269,7197,8205,5170,6866,0,0,13230,20758,13306,13847
Nordrhein-Westfalen,150,53714,49061,54890,37193,11113,9427,5356,7060,0,0,15221,19328,0,16688
Sachsen,151,38207,34321,16248,14519,20028,17173,3070,3021,0,0,7641,9189,31244,31301
Sachsen,152,43919,37622,26330,20674,31132,31137,8735,11300,0,0,9074,13565,32702,33291
Sachsen,153,42778,38111,23787,22725,43948,39058,17273,18154,0,0,10052,14866,25968,27774
Sachsen,154,54152,47944,18221,18139,24801,23368,6219,5157,0,0,10048,12859,45563,42823
Sachsen,155,55326,39406,13486,13148,19122,20111,5051,5531,0,0,7991,13156,46765,49615
Sachsen,156,48579,42995,15836,14378,24221,22597,3247,3768,0,0,9247,12122,52770,52041
Sachsen,157,48256,41000,16801,14249,20853,21534,4995,4476,0,0,7661,10810,49834,50551
Sachsen,158,44354,39581,11100,12040,22614,19708,4575,4643,0,0,9933,12795,57554,54749
Sachsen,159,44388,44104,23906,19246,37936,31004,11765,13936,0,0,13590,18610,40380,41812
Sachsen,160,47185,42792,20593,17977,32397,32040,15839,16588,0,0,12843,17684,41202,43126
Sachsen,161,48230,41189,17782,14487,20785,21582,4626,4112,0,0,8652,11767,46827,46522
Sachsen,162,38653,36270,22413,17373,28213,28010,6157,6818,0,0,9535,12184,34958,35456
Sachsen,163,48012,41947,14142,14524,23174,20972,4609,3850,0,0,10345,10542,36388,36746
